Index,Price
31-12-09,10428.04981
04-01-10,10583.95996
05-01-10,10572.01953
06-01-10,10573.67969
07-01-10,10606.86035
08-01-10,10618.19043
11-01-10,10663.99023
12-01-10,10627.25977
13-01-10,10680.76953
14-01-10,10710.54981
15-01-10,10609.65039
19-01-10,10725.42969
20-01-10,10603.15039
21-01-10,10389.87988
22-01-10,10172.98047
25-01-10,10196.86035
26-01-10,10194.29004
27-01-10,10236.16016
28-01-10,10120.45996
29-01-10,10067.33008
01-02-10,10185.53027
02-02-10,10296.84961
03-02-10,10270.54981
04-02-10,10002.17969
05-02-10,10012.23047
08-02-10,9908.389648
09-02-10,10058.63965
10-02-10,10038.37988
11-02-10,10144.19043
12-02-10,10099.13965
16-02-10,10268.80957
17-02-10,10309.24023
18-02-10,10392.90039
19-02-10,10402.34961
22-02-10,10383.37988
23-02-10,10282.41016
24-02-10,10374.16016
25-02-10,10321.03027
26-02-10,10325.25977
01-03-10,10403.79004
02-03-10,10405.98047
03-03-10,10396.75977
04-03-10,10444.13965
05-03-10,10566.2002
08-03-10,10552.51953
09-03-10,10564.37988
10-03-10,10567.33008
11-03-10,10611.83984
12-03-10,10624.69043
15-03-10,10642.15039
16-03-10,10685.98047
17-03-10,10733.66992
18-03-10,10779.16992
19-03-10,10741.98047
22-03-10,10785.88965
23-03-10,10888.83008
24-03-10,10836.15039
25-03-10,10841.20996
26-03-10,10850.36035
29-03-10,10895.86035
30-03-10,10907.41992
31-03-10,10856.62988
01-04-10,10927.07031
05-04-10,10973.54981
06-04-10,10969.99023
07-04-10,10897.51953
08-04-10,10927.07031
09-04-10,10997.34961
12-04-10,11005.96973
13-04-10,11019.41992
14-04-10,11123.11035
15-04-10,11144.57031
16-04-10,11018.66016
19-04-10,11092.04981
20-04-10,11117.05957
21-04-10,11124.91992
22-04-10,11134.29004
23-04-10,11204.28027
26-04-10,11205.03027
27-04-10,10991.99023
28-04-10,11045.26953
29-04-10,11167.32031
30-04-10,11008.61035
03-05-10,11151.83008
04-05-10,10926.76953
05-05-10,10866.83008
06-05-10,10520.32031
07-05-10,10380.42969
10-05-10,10785.13965
11-05-10,10748.25977
12-05-10,10896.91016
13-05-10,10782.9502
14-05-10,10620.16016
17-05-10,10625.83008
18-05-10,10510.9502
19-05-10,10444.37012
20-05-10,10068.00977
21-05-10,10193.38965
24-05-10,10066.57031
25-05-10,10043.75
26-05-10,9974.450195
27-05-10,10258.99023
28-05-10,10136.62988
01-06-10,10024.01953
02-06-10,10249.54004
03-06-10,10255.28027
04-06-10,9931.969727
07-06-10,9816.490234
08-06-10,9939.980469
09-06-10,9899.25
10-06-10,10172.53027
11-06-10,10211.07031
14-06-10,10190.88965
15-06-10,10404.76953
16-06-10,10409.45996
17-06-10,10434.16992
18-06-10,10450.63965
21-06-10,10442.41016
22-06-10,10293.51953
23-06-10,10298.44043
24-06-10,10152.79981
25-06-10,10143.80957
28-06-10,10138.51953
29-06-10,9870.299805
30-06-10,9774.019531
01-07-10,9732.530273
02-07-10,9686.480469
06-07-10,9743.620117
07-07-10,10018.28027
08-07-10,10138.99023
09-07-10,10198.03027
12-07-10,10216.26953
13-07-10,10363.01953
14-07-10,10366.71973
15-07-10,10359.30957
16-07-10,10097.90039
19-07-10,10154.42969
20-07-10,10229.95996
21-07-10,10120.53027
22-07-10,10322.29981
23-07-10,10424.62012
26-07-10,10525.42969
27-07-10,10537.69043
28-07-10,10497.87988
29-07-10,10467.16016
30-07-10,10465.94043
02-08-10,10674.37988
03-08-10,10636.37988
04-08-10,10680.42969
05-08-10,10674.98047
06-08-10,10653.55957
09-08-10,10698.75
10-08-10,10644.25
11-08-10,10378.83008
12-08-10,10319.9502
13-08-10,10303.15039
16-08-10,10302.00977
17-08-10,10405.84961
18-08-10,10415.54004
19-08-10,10271.20996
20-08-10,10213.62012
23-08-10,10174.41016
24-08-10,10040.4502
25-08-10,10060.05957
26-08-10,9985.80957
27-08-10,10150.65039
30-08-10,10009.73047
31-08-10,10014.71973
01-09-10,10269.46973
02-09-10,10320.09961
03-09-10,10447.92969
07-09-10,10340.69043
08-09-10,10387.00977
09-09-10,10415.24023
10-09-10,10462.76953
13-09-10,10544.12988
14-09-10,10526.49023
15-09-10,10572.73047
16-09-10,10594.83008
17-09-10,10607.84961
20-09-10,10753.62012
21-09-10,10761.03027
22-09-10,10739.30957
23-09-10,10662.41992
24-09-10,10860.25977
27-09-10,10812.04004
28-09-10,10858.13965
29-09-10,10835.28027
30-09-10,10788.04981
01-10-10,10829.67969
04-10-10,10751.26953
05-10-10,10944.71973
06-10-10,10967.65039
07-10-10,10948.58008
08-10-10,11006.48047
11-10-10,11010.33984
12-10-10,11020.40039
13-10-10,11096.08008
14-10-10,11094.57031
15-10-10,11062.78027
18-10-10,11143.69043
19-10-10,10978.62012
20-10-10,11107.96973
21-10-10,11146.57031
22-10-10,11132.55957
25-10-10,11164.04981
26-10-10,11169.45996
27-10-10,11126.28027
28-10-10,11113.9502
29-10-10,11118.49023
01-11-10,11124.62012
02-11-10,11188.71973
03-11-10,11215.12988
04-11-10,11434.83984
